,Unnamed: 0,INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,FUEL_REGION_ID_XML,FUEL_REGION_ID,PRC,GROUP
0,0.0,2018-06-30T05:00:00-00:00,2018-06-30T06:00:00-00:00,2018-06-29,23,FRCISO,FRCISO,2.64,1
1,1.0,2018-06-30T04:00:00-00:00,2018-06-30T05:00:00-00:00,2018-06-29,22,FRCISO,FRCISO,2.64,1
2,2.0,2018-06-30T03:00:00-00:00,2018-06-30T04:00:00-00:00,2018-06-29,21,FRCISO,FRCISO,2.64,1
3,3.0,2018-06-30T02:00:00-00:00,2018-06-30T03:00:00-00:00,2018-06-29,20,FRCISO,FRCISO,2.64,1
4,4.0,2018-06-30T01:00:00-00:00,2018-06-30T02:00:00-00:00,2018-06-29,19,FRCISO,FRCISO,2.64,1
5,5.0,2018-06-30T00:00:00-00:00,2018-06-30T01:00:00-00:00,2018-06-29,18,FRCISO,FRCISO,2.64,1
6,6.0,2018-06-30T06:00:00-00:00,2018-06-30T07:00:00-00:00,2018-06-29,24,FRCISO,FRCISO,2.64,1
7,7.0,2018-06-30T15:00:00-00:00,2018-06-30T16:00:00-00:00,2018-06-30,9,FRCISO,FRCISO,2.4,2
8,8.0,2018-06-30T16:00:00-00:00,2018-06-30T17:00:00-00:00,2018-06-30,10,FRCISO,FRCISO,2.4,2
9,9.0,2018-06-30T17:00:00-00:00,2018-06-30T18:00:00-00:00,2018-06-30,11,FRCISO,FRCISO,2.4,2
10,10.0,2018-06-30T18:00:00-00:00,2018-06-30T19:00:00-00:00,2018-06-30,12,FRCISO,FRCISO,2.4,2
11,11.0,2018-06-30T19:00:00-00:00,2018-06-30T20:00:00-00:00,2018-06-30,13,FRCISO,FRCISO,2.4,2
12,12.0,2018-06-30T20:00:00-00:00,2018-06-30T21:00:00-00:00,2018-06-30,14,FRCISO,FRCISO,2.4,2
13,13.0,2018-06-30T21:00:00-00:00,2018-06-30T22:00:00-00:00,2018-06-30,15,FRCISO,FRCISO,2.4,2
14,14.0,2018-06-30T22:00:00-00:00,2018-06-30T23:00:00-00:00,2018-06-30,16,FRCISO,FRCISO,2.4,2
15,15.0,2018-06-30T23:00:00-00:00,2018-07-01T00:00:00-00:00,2018-06-30,17,FRCISO,FRCISO,2.4,2
16,16.0,2018-06-30T14:00:00-00:00,2018-06-30T15:00:00-00:00,2018-06-30,8,FRCISO,FRCISO,2.4,2
17,17.0,2018-06-30T13:00:00-00:00,2018-06-30T14:00:00-00:00,2018-06-30,7,FRCISO,FRCISO,2.4,2
18,18.0,2018-06-30T12:00:00-00:00,2018-06-30T13:00:00-00:00,2018-06-30,6,FRCISO,FRCISO,2.4,2
19,19.0,2018-06-30T11:00:00-00:00,2018-06-30T12:00:00-00:00,2018-06-30,5,FRCISO,FRCISO,2.4,2
20,20.0,2018-06-30T10:00:00-00:00,2018-06-30T11:00:00-00:00,2018-06-30,4,FRCISO,FRCISO,2.4,2
21,21.0,2018-06-30T09:00:00-00:00,2018-06-30T10:00:00-00:00,2018-06-30,3,FRCISO,FRCISO,2.4,2
22,22.0,2018-06-30T07:00:00-00:00,2018-06-30T08:00:00-00:00,2018-06-30,1,FRCISO,FRCISO,2.4,2
23,23.0,2018-06-30T08:00:00-00:00,2018-06-30T09:00:00-00:00,2018-06-30,2,FRCISO,FRCISO,2.4,2
24,0.0,2018-07-01T05:00:00-00:00,2018-07-01T06:00:00-00:00,2018-06-30,23,FRCISO,FRCISO,2.4,1
25,1.0,2018-07-01T04:00:00-00:00,2018-07-01T05:00:00-00:00,2018-06-30,22,FRCISO,FRCISO,2.4,1
26,2.0,2018-07-01T03:00:00-00:00,2018-07-01T04:00:00-00:00,2018-06-30,21,FRCISO,FRCISO,2.4,1
27,3.0,2018-07-01T02:00:00-00:00,2018-07-01T03:00:00-00:00,2018-06-30,20,FRCISO,FRCISO,2.4,1
28,4.0,2018-07-01T01:00:00-00:00,2018-07-01T02:00:00-00:00,2018-06-30,19,FRCISO,FRCISO,2.4,1
29,5.0,2018-07-01T00:00:00-00:00,2018-07-01T01:00:00-00:00,2018-06-30,18,FRCISO,FRCISO,2.4,1
30,6.0,2018-07-01T06:00:00-00:00,2018-07-01T07:00:00-00:00,2018-06-30,24,FRCISO,FRCISO,2.4,1
31,7.0,2018-07-01T15:00:00-00:00,2018-07-01T16:00:00-00:00,2018-07-01,9,FRCISO,FRCISO,2.4,2
32,8.0,2018-07-01T16:00:00-00:00,2018-07-01T17:00:00-00:00,2018-07-01,10,FRCISO,FRCISO,2.4,2
